frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
0,0.2860,26073.0,0,,,,944.04,686.41,0.329
1,0.6134,6109.0,1,,,,,,
2,0.7801,3879.0,1,,,,,,
3,0.9100,3877.0,1,,,,,,
4,1.0422,3876.0,1,,,,,,
5,1.1688,3871.0,1,,,,,,
6,1.2916,6112.0,1,,,,,,
7,1.4190,3873.0,1,,,,,,
8,1.5409,3873.0,1,,,,,,
9,1.6630,6116.0,1,,,,,,
10,1.7990,6124.0,1,,,,,,
11,1.9257,6117.0,1,,,,,,
12,2.0508,6124.0,1,,,,,,
13,2.1799,6118.0,1,,,,,,
14,2.3061,3864.0,1,,,,,,
15,2.4282,6125.0,1,,,,,,
16,2.5563,3865.0,1,,,,,,
17,2.6806,6121.0,1,,,,,,
18,2.8071,3861.0,1,,,,,,
19,2.9337,3860.0,1,,,,,,
20,3.0589,6127.0,1,,,,,,
21,3.1886,6127.0,1,,,,,,
22,3.3139,3858.0,1,,,,,,
23,3.4590,3863.0,1,,,,,,
24,3.5933,6140.0,1,,,,,,
25,3.7207,6125.0,1,,,,,,
26,3.8437,3853.0,1,,,,,,
27,3.9678,6130.0,1,,,,,,
28,4.1001,6132.0,1,,,,,,
29,4.2306,3851.0,1,,,,,,
30,4.3596,6133.0,1,,,,,,
31,4.4893,6137.0,1,,,,,,
32,4.6182,6140.0,1,,,,,,
33,4.7444,6150.0,1,,,,,,
34,4.8729,6135.0,1,,,,,,
35,5.0010,3851.0,1,,,,,,
36,5.1283,6137.0,1,,,,,,
37,5.2533,6140.0,1,,,,,,
38,5.3748,6138.0,1,,,,,,
39,5.5043,6133.0,1,,,,,,
40,5.6356,3848.0,1,,,,,,
41,5.7659,6154.0,1,,,,,,
42,5.8971,6149.0,1,,,,,,
43,6.0295,6145.0,1,,,,,,
44,6.1507,6142.0,1,,,,,,
45,6.2803,3852.0,1,,,,,,
46,6.4126,3843.0,1,,,,,,
47,6.5449,3838.0,1,,,,,,
48,6.6717,3835.0,1,,,,,,
49,6.8017,6176.0,1,,,,,,
50,6.9321,3835.0,1,,,,,,
